Comment,Designator,Footprint,JLCPCB Part #
100nF,"C1, C6, C15",Capacitor_SMD:C_0805_2012Metric,C49678
10nF,C2,Capacitor_SMD:C_0805_2012Metric,C1710
4.7uF,C3,Capacitor_SMD:C_0805_2012Metric,C1779
47pF,"C4, C5",Capacitor_SMD:C_0805_2012Metric,C14857
1uF,C12,Capacitor_SMD:C_0805_2012Metric,C28323
10uF,"C20, C21",Capacitor_SMD:C_0805_2012Metric,C15850
D_Schottky,"D1, D6",JLCfootprint:SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C47546
FerriteBead,FB1,JLCfootprint:L0603,C13415
USB_B_Micro,J1,footprints:USB_Conn_JLC_LCSC_C404969,C404969
FS8205A,Q1,JLCfootprint:TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,C306862
0R,"R1, R8-R14, R16, R17, R39",Resistor_SMD:R_0805_2012Metric,C17477
27R,"R2, R3",Resistor_SMD:R_0805_2012Metric,C17594
1k0,"R4, R7, R40",Resistor_SMD:R_0805_2012Metric,C17513
10k,"R5, R19, R20, R36",Resistor_SMD:R_0805_2012Metric,C17414
100R,R6,Resistor_SMD:R_0805_2012Metric,C17408
4k7,"R15, R18",Resistor_SMD:R_0805_2012Metric,C17673
MCP1700x-330xxTT,U1,JLCfootprint:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C39051
DW01A,U2,JLCfootprint:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C351410
FT234XD-R,U3,JLCfootprint:DFN-12_L3.0-W3.0-P0.45-BL-EP,C132158
TMP102xxDRL,U4,JLCfootprint:SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,C99269
CAT24C256,U5,JLCfootprint:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C6482
LTR-303ALS-01,U6,JLCfootprint:SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,C364577
TP4056,U7,JLCfootprint:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C382139
AO3401A_C306862,U11,JLCfootprint:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C306862
XXDCELNANF-8MHZ,X1,JLCfootprint:OSC-SMD_4P-L3.2-W2.5-BL,C367183